Course,University,District,Z_Score
AGRICULTURE,Rajarata University of Sri Lanka,MATALE,0.867
AGRICULTURE,Rajarata University of Sri Lanka,KANDY,0.8461
AGRICULTURE,Rajarata University of Sri Lanka,NUWARA ELIYA,0.9644
AGRICULTURE,Rajarata University of Sri Lanka,GALLE,0.856
AGRICULTURE,Rajarata University of Sri Lanka,MATARA,0.8463
AGRICULTURE,Rajarata University of Sri Lanka,HAMBANTOTA,0.8448
AGRICULTURE,Rajarata University of Sri Lanka,VAVUNIYA,0.8461
AGRICULTURE,Rajarata University of Sri Lanka,BATTICALOA,0.9077
AGRICULTURE,Rajarata University of Sri Lanka,AMPARA,0.87
AGRICULTURE,Rajarata University of Sri Lanka,PUTTALAM,0.8554
AGRICULTURE,Rajarata University of Sri Lanka,KURUNEGALA,0.8432
AGRICULTURE,Rajarata University of Sri Lanka,ANURADHAPURA,0.8446
AGRICULTURE,Rajarata University of Sri Lanka,POLONNARUWA,0.8535
AGRICULTURE,Rajarata University of Sri Lanka,BADULLA,0.8443
AGRICULTURE,Rajarata University of Sri Lanka,MONARAGALA,0.9645
AGRICULTURE,Rajarata University of Sri Lanka,KEGALLE,0.8481
AGRICULTURE,Rajarata University of Sri Lanka,RATNAPURA,0.8679
AGRICULTURE,Sabaragamuwa University of Sri Lanka,COLOMBO,0.8864
AGRICULTURE,Sabaragamuwa University of Sri Lanka,GAMPAHA,0.8772
AGRICULTURE,Sabaragamuwa University of Sri Lanka,KALUTARA,0.8511
AGRICULTURE,Sabaragamuwa University of Sri Lanka,MATALE,0.876
AGRICULTURE,Sabaragamuwa University of Sri Lanka,KANDY,0.8658
AGRICULTURE,Sabaragamuwa University of Sri Lanka,GALLE,0.8476
AGRICULTURE,Sabaragamuwa University of Sri Lanka,MATARA,0.8568
AGRICULTURE,Sabaragamuwa University of Sri Lanka,HAMBANTOTA,0.8505
AGRICULTURE,Sabaragamuwa University of Sri Lanka,JAFFNA,0.864
AGRICULTURE,Sabaragamuwa University of Sri Lanka,VAVUNIYA,1.0018
AGRICULTURE,Sabaragamuwa University of Sri Lanka,TRINCOMALEE,0.944
AGRICULTURE,Sabaragamuwa University of Sri Lanka,BATTICALOA,0.8707
AGRICULTURE,Sabaragamuwa University of Sri Lanka,AMPARA,0.8782
